# Linear Curve Fit Training Data
0.0000	21.8641
0.1000	-4.7490
0.2000	6.0736
0.3000	9.9124
0.4000	10.4321
0.5000	-2.7158
0.6000	-5.3527
0.7000	11.8965
0.8000	16.0674
0.9000	14.9124
1.0000	5.8631
1.1000	28.6587
1.2000	9.7407
1.3000	2.2548
1.4000	20.7721
1.5000	21.0861
1.6000	24.4706
1.7000	15.4326
1.8000	5.3650
1.9000	21.7245
2.0000	7.3101
2.1000	39.4826
2.2000	21.4239
2.3000	28.4910
2.4000	17.8011
2.5000	31.6200
2.6000	29.9002
2.7000	30.0206
2.8000	19.4732
2.9000	22.0603
3.0000	34.2261
3.1000	26.5650
3.2000	43.0928
3.3000	34.3524
3.4000	47.2114
3.5000	36.1837
3.6000	48.4504
3.7000	38.1258
3.8000	43.6249
3.9000	27.6511
4.0000	35.9233
4.1000	31.7317
4.2000	64.8847
4.3000	31.8726
4.4000	43.2393
4.5000	47.5555
4.6000	62.7531
4.7000	49.3576
4.8000	59.1976
4.9000	53.7806
5.0000	39.7608
5.1000	73.1432
5.2000	62.2724
5.3000	53.3615
5.4000	56.9215
5.5000	65.3105
5.6000	42.6158
5.7000	58.3973
5.8000	59.3801
5.9000	56.5426
6.0000	41.5034
6.1000	52.2121
6.2000	69.3535
6.3000	64.9000
6.4000	66.2953
6.5000	75.7540
6.6000	75.6348
6.7000	66.6123
6.8000	70.0176
6.9000	63.8703
7.0000	68.6616
7.1000	66.0282
7.2000	68.0191
7.3000	71.4407
7.4000	82.1847
7.5000	74.4970
7.6000	72.3693
7.7000	73.7289
7.8000	73.5919
7.9000	79.9856
8.0000	79.3229
8.1000	77.9995
8.2000	82.6255
8.3000	89.0438
8.4000	70.6567
8.5000	83.3861
8.6000	69.5985
8.7000	85.4022
8.8000	85.8265
8.9000	90.2030
9.0000	90.9453
9.1000	107.2578
9.2000	109.0406
9.3000	101.6611
9.4000	67.5720
9.5000	92.8467
9.6000	91.4781
9.7000	87.5583
9.8000	86.8211
9.9000	111.4683
